Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Material_Footprint_Per_Capita,Continent,Hemisphere,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Footprint_kgCO2e,Carbon_Per_Capita_kgCO2e,Years_From_2018,Is_Pandemic_Year,Is_Post_Pandemic,Year_Trend,Country_Trend,Year_Cycle,Year_Cycle_Cos,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Waste_Efficiency,Economic_Intensity,Waste_Trend,Economic_Trend,Category_Waste_Share,Category_Economic_Share,Sustainability_Score,Country_Encoded,Food Category_Encoded,Continent_Encoded,Hemisphere_Encoded,ISO_Code
China,2018,Grains & Cereals,47358.45,55900.26,39.08,847.2,69.94,21.34,Asia,Northern Hemisphere,39.08,65.98236543909348,118396125.0,0.13974991147308782,0,0,0,0,22.5,1267.9467949888406,0.3090169943749612,18079.248,0.0,65982.36543909348,55.89996458923512,1.1803650668465713,39075.166666666664,40655.456666666665,0.04101230799207613,0.04924999435477869,51.193671978281394,4,5,2,0,CHN
South Africa,2018,Meat & Seafood,32406.6,32328.11,91.75,177.99,37.66,7.6,Africa,Southern Hemisphere,91.75,181.62879937075115,81016500.0,0.4551744480026968,0,0,0,0,16.0,1267.9467949888406,0.3090169943749612,1352.724,0.0,181628.79937075116,182.0697792010787,0.9975779625138089,25964.190000000002,25162.263333333325,0.038693957098717154,0.03895804597383257,18.222866453171523,14,6,0,1,ZAF
Japan,2020,Dairy Products,9051.55,7530.28,122.73,228.58,44.37,18.18,Asia,Northern Hemisphere,122.73,32.943739609764634,22628875.0,0.09899761571441071,2,1,0,2,97.0,1269.2034320502764,1.0,4155.5844,457.16,32943.739609764634,39.59904628576428,0.8319326524186466,7259.610000000003,7334.3466666666645,0.009520527970865316,0.00815941866704588,36.62433834981188,10,2,2,0,JPN
France,2024,Dairy Products,45066.06,49348.46,145.63,1298.84,47.08,17.549999999999997,Europe,Unknown,145.63,37.99425641341505,112665150.0,0.08674290135813495,6,0,1,6,223.0,1271.7167061731484,-0.8090169943750019,22794.641999999996,7793.039999999999,37994.25641341505,34.69716054325398,1.0950249478210432,33337.21333333334,35411.47,0.06180838961161256,0.06711838363116646,27.465066941783945,5,2,3,2,FRA
USA,2020,Dairy Products,47081.61,45557.24,136.57,288.76,38.58,17.549999999999997,America,Unknown,136.57,157.76852749688322,117704025.0,0.40761887034215266,2,1,0,2,90.5,1269.2034320502764,1.0,5067.737999999999,577.52,157768.5274968832,163.04754813686108,0.967622814937722,42186.06666666666,38331.340000000004,0.06794432750216417,0.0635804028693358,9.124201112804174,19,2,1,2,USA
South Korea,2023,Bakery Items,7353.5,6107.4,166.22,123.76,32.85,17.549999999999997,Asia,Unknown,166.22,49.34873949579831,18383750.0,0.1485435520361991,5,0,1,5,190.0,1271.0883876424302,-0.30901699437484287,2171.988,618.8000000000001,49348.73949579831,59.417420814479634,0.8305432787108179,13658.383333333333,14333.323333333332,0.010367320064188144,0.008585591972588184,21.087386877828056,15,0,2,2,KOR
Saudi Arabia,2021,Bakery Items,45408.01,51287.28,94.93,436.99,52.57,30.03,Asia,Northern Hemisphere,94.93,117.3648824915902,113520025.00000001,0.2597771688139317,3,1,0,3,125.0,1269.8317505809944,0.8090169943749828,13122.809700000002,1310.97,117364.8824915902,103.91086752557267,1.1294764954465082,28849.12,31841.47333333333,0.06331964870822185,0.0710134245890619,29.098703204497433,13,0,2,0,SAU
UK,2018,Grains & Cereals,39429.65,37256.49,26.06,584.3,60.62,17.549999999999997,Europe,Unknown,26.06,63.76260482628787,98574125.0,0.16870464658565806,0,0,0,0,15.0,1267.9467949888406,0.3090169943749612,10254.464999999998,0.0,63762.60482628787,67.48185863426323,0.9448851308596449,27764.45,24198.340000000007,0.05997534159553348,0.05769160193454481,52.928387871527185,18,5,3,2,GBR
Germany,2020,Dairy Products,32712.11,30451.14,140.59,359.67,62.78,19.4,Europe,Northern Hemisphere,140.59,84.66410876636917,81780275.0,0.22737585842577918,2,1,0,2,106.0,1269.2034320502764,1.0,6977.598,719.34,84664.10876636917,90.95034337031167,0.9308827831650114,26271.46666666667,26434.45,0.032549189264530994,0.030463954967296543,18.866781827786582,6,2,3,0,DEU
China,2023,Frozen Food,31398.56,35945.1,29.25,627.03,36.15,17.549999999999997,Asia,Unknown,29.25,57.325965264819864,78496400.00000001,0.12518763057588952,5,0,1,5,210.5,1271.0883876424302,-0.30901699437484287,11004.376499999998,3135.1499999999996,57325.96526481986,50.07505223035581,1.1448009080671215,40881.15,43683.78,0.04384623887867346,0.04963508338505107,54.68874216544663,4,3,2,2,CHN
China,2020,Beverages,8367.92,8949.16,168.54,1387.92,62.87,21.96,Asia,Northern Hemisphere,168.54,6.447893250331431,20919800.0,0.015072770764885585,2,1,0,2,97.0,1269.2034320502764,1.0,30478.723200000004,2775.84,6447.893250331431,6.029108305954233,1.0694605110947524,29041.643333333337,33598.17333333333,0.00752835580342908,0.007973211060015405,54.25971381635829,4,1,2,0,CHN
Spain,2022,Fruits & Vegetables,15003.92,13428.76,70.34,1150.31,69.51,17.549999999999997,Europe,Unknown,70.34,11.67403569472577,37509800.0,0.03260842729351218,4,1,0,4,180.5,1270.4600691117123,0.30901699437502833,20187.940499999997,4601.24,11674.03569472577,13.043370917404873,0.8950167689510474,27888.659999999993,27630.186666666657,0.01892500360994729,0.016883929553691265,70.5306342580116,16,4,3,2,ESP
Saudi Arabia,2019,Dairy Products,49131.04,49173.08,150.52,148.4,47.84,30.03,Asia,Northern Hemisphere,150.52,331.3549865229111,122827600.0,0.8276792452830188,1,0,0,1,56.0,1268.5751135195585,0.8090169943749413,4456.452,148.4,331354.98652291106,331.07169811320756,1.0008556708752756,35995.99333333334,37411.77333333333,0.04569312024700584,0.04658151860960043,0.0,13,2,2,0,SAU
Indonesia,2022,Fruits & Vegetables,4892.76,5052.86,28.46,981.08,52.17,17.549999999999997,Asia,Unknown,28.46,5.150303746891181,12231900.000000002,0.012467790598116363,4,1,0,4,150.5,1270.4600691117123,0.30901699437502833,17217.953999999998,3924.32,5150.303746891181,4.987116239246545,1.0327218175426547,14210.136666666664,16012.96666666666,0.005062099320694611,0.005269468511560828,87.7998714206113,8,4,2,2,IDN
South Korea,2021,Fruits & Vegetables,30764.52,28671.75,47.98,1127.76,60.98,22.01,Asia,Northern Hemisphere,47.98,25.423627367525004,76911300.0,0.06819828686954671,3,1,0,3,126.0,1269.8317505809944,0.8090169943749828,24821.997600000002,3383.2799999999997,25423.627367525005,27.279314747818685,0.9319745603051827,13040.926666666666,11950.989999999998,0.03356718784507763,0.030567468920821093,64.04571559551677,15,4,2,0,KOR
Italy,2022,Grains & Cereals,517.61,576.78,60.93,245.82,35.85,17.549999999999997,Europe,Unknown,60.93,2.3463509885281915,1294025.0,0.005264116019851924,4,1,0,4,148.0,1270.4600691117123,0.30901699437502833,4314.141,983.28,2346.3509885281915,2.1056464079407697,1.1143138656517455,26934.403333333335,26313.429999999997,0.0006404761130225966,0.000713787781603561,81.67638979741272,9,5,3,2,ITA
Spain,2018,Meat & Seafood,19970.49,22580.08,65.24,1239.89,34.41,13.99,Europe,Northern Hemisphere,65.24,18.211357459129438,49926225.00000001,0.04026665671954771,0,0,0,0,18.0,1267.9467949888406,0.3090169943749612,17346.061100000003,0.0,18211.35745912944,16.10666268781908,1.1306723069889622,22212.90666666666,24461.676666666655,0.023336238314054826,0.025371754723329247,66.52814916914673,16,6,3,0,ESP
South Africa,2024,Bakery Items,33519.8,36757.81,161.69,276.08,56.4,17.549999999999997,Africa,Unknown,161.69,133.14187916545927,83799500.0,0.30353339611706753,6,0,1,6,226.5,1271.7167061731484,-0.8090169943750019,4845.203999999999,1656.48,133141.87916545928,121.41335844682702,1.0965999200472556,32683.64333333333,33091.47999999999,0.034594372830466034,0.037516295708486316,11.787996232975948,14,0,0,2,ZAF
France,2020,Beverages,46643.08,49785.97,34.1,1310.7,48.43,17.1,Europe,Northern Hemisphere,34.1,37.984260318913556,116607700.00000001,0.08896597238117038,2,1,0,2,77.0,1269.2034320502764,1.0,22412.97,2621.4,37984.260318913555,35.58638895246815,1.0673816994932581,38485.60333333333,42511.87,0.04332785240609714,0.046793057498623,57.080513084611276,5,1,3,0,FRA
Indonesia,2024,Dairy Products,26014.74,22046.11,139.72,30.95,64.94,17.549999999999997,Asia,Unknown,139.72,712.3137318255251,65036850.00000001,2.1013521809369955,6,0,1,6,227.5,1271.7167061731484,-0.8090169943750019,543.1724999999999,185.7,712313.731825525,840.5408723747981,0.8474468705049522,20079.329999999994,20116.443333333325,0.030660559149529937,0.02655814751255868,2.7413333333333334,8,2,2,2,IDN
South Africa,2021,Bakery Items,3799.48,3099.82,156.94,1337.82,31.69,7.55,Africa,Southern Hemisphere,156.94,2.3170680659580514,9498700.0,0.007100133052279081,3,1,0,3,121.0,1269.8317505809944,0.8090169943749828,10100.541,4013.46,2317.068065958051,2.8400532209116327,0.8158537484076769,23241.960000000003,24061.91333333333,0.0035735990573812796,0.002879292029032677,57.83619096739472,14,0,0,1,ZAF
Spain,2018,Fruits & Vegetables,14126.29,16893.56,175.41,875.65,50.09,13.99,Europe,Northern Hemisphere,175.41,19.292594072974364,35315725.00000001,0.04033086849768744,0,0,0,0,18.0,1267.9467949888406,0.3090169943749612,12250.343499999999,0.0,19292.594072974363,16.132347399074973,1.1958950297636535,16366.899999999994,17634.133333333328,0.016507079692759143,0.018982185214748842,43.11070233540798,16,4,3,0,ESP
South Korea,2018,Meat & Seafood,45602.44,40879.26,149.76,951.58,51.83,21.65,Asia,Northern Hemisphere,149.76,42.959351814876314,114006100.0,0.11980716282393493,0,0,0,0,17.5,1267.9467949888406,0.3090169943749612,20601.707,0.0,42959.35181487631,47.92286512957397,0.8964270332903239,27906.819999999996,25219.47,0.06495630113485976,0.057146496563480476,22.875570230563905,15,6,2,0,KOR
Japan,2021,Bakery Items,41470.4,45018.64,105.89,873.0,63.0,18.18,Asia,Northern Hemisphere,105.89,51.56774341351661,103676000.0,0.11875830469644903,3,1,0,3,135.5,1269.8317505809944,0.8090169943749828,15871.14,2619.0,51567.74341351661,47.50332187857961,1.085560785524133,17859.040000000005,18480.699999999997,0.04875871583032559,0.05431734070868148,34.63716838487972,10,0,2,0,JPN
Australia,2022,Frozen Food,27743.51,25956.39,91.64,163.76,34.36,17.549999999999997,Oceania,Unknown,91.64,158.50262579384466,69358775.0,0.4235391731802638,4,1,0,4,144.0,1270.4600691117123,0.30901699437502833,2873.9879999999994,655.04,158502.62579384467,169.41566927210553,0.9355842141098946,40219.399999999994,40066.54666666667,0.03466674887003071,0.033155425563215435,20.15031627585084,1,3,4,2,AUS
USA,2023,Dairy Products,38649.18,31579.18,56.11,814.16,60.69,17.549999999999997,America,Unknown,56.11,38.787437358750125,96622950.0,0.1186780853886214,5,0,1,5,197.5,1271.0883876424302,-0.30901699437484287,14288.507999999998,4070.7999999999997,38787.437358750125,47.47123415544856,0.8170724450040079,44622.58333333332,40242.306666666664,0.044699614300645646,0.03590423829499966,48.82607019095346,19,2,1,2,USA
Australia,2021,Grains & Cereals,36479.51,40488.37,167.63,146.37,58.45,46.82,Oceania,Southern Hemisphere,167.63,276.6165880986541,91198775.00000001,0.623070130491221,3,1,0,3,109.5,1269.8317505809944,0.8090169943749828,6853.0434000000005,439.11,276616.5880986541,249.22805219648836,1.109893471705075,35997.503333333334,36068.286666666674,0.03943814462313244,0.042932301115424815,0.0,1,5,4,1,AUS
Germany,2018,Beverages,17394.53,18757.29,154.52,359.36,41.04,20.23,Europe,Northern Hemisphere,154.52,52.19637689225289,43486325.0,0.12101047695903829,0,0,0,0,21.0,1267.9467949888406,0.3090169943749612,7269.852800000001,0.0,52196.37689225289,48.40419078361531,1.0783441691152336,20182.31666666667,19617.53,0.01706864685982872,0.018733717737645077,22.7393713824577,6,1,3,0,DEU
India,2019,Prepared Food,30287.13,28878.12,54.33,596.44,49.38,5.23,Asia,Northern Hemisphere,54.33,48.41747703038025,75717825.0,0.1269496093488029,1,0,0,1,66.0,1268.5751135195585,0.8090169943749413,3119.3812000000007,596.44,48417.47703038025,50.779843739521155,0.9534782595775829,24908.07000000001,25461.303333333333,0.03364616978988403,0.030892251552040895,47.89502343907183,7,7,2,0,IND
Spain,2022,Fruits & Vegetables,26025.35,26034.02,75.12,256.32,53.89,17.549999999999997,Europe,Unknown,75.12,101.56843008739077,65063375.0,0.2538365129525593,4,1,0,4,180.5,1270.4600691117123,0.30901699437502833,4498.415999999999,1025.28,101568.43008739076,101.53460518102372,1.0003331367301498,20040.709999999992,21835.886666666658,0.03282674412421165,0.032732475647743314,34.73780922284644,16,4,3,2,ESP
UK,2018,Frozen Food,23048.8,27491.11,142.76,1006.54,37.02,17.549999999999997,Europe,Unknown,142.76,27.312486339340712,57622000.0,0.05724760069147774,0,0,0,0,15.0,1267.9467949888406,0.3090169943749612,17664.777,0.0,27312.48633934071,22.899040276591094,1.1927349796952553,34272.15666666667,32384.27333333334,0.035058887242649425,0.042569930094294564,38.01144587067247,18,3,3,2,GBR
Russia,2023,Prepared Food,19438.29,22652.07,86.85,865.23,36.73,17.549999999999997,Europe,Unknown,86.85,26.180402898651224,48595725.00000001,0.05616509483027635,5,0,1,5,183.5,1271.0883876424302,-0.30901699437484287,15184.786499999998,4326.15,26180.402898651224,22.466037932110538,1.1653324443662483,25760.2,28251.789999999997,0.021257584903827266,0.023878060606972895,53.834792136195,12,7,3,2,RUS
South Korea,2019,Prepared Food,40107.69,32976.72,95.88,40.19,31.13,22.01,Asia,Northern Hemisphere,95.88,820.5205274944017,100269225.0,2.4948799452600148,1,0,0,1,53.5,1268.5751135195585,0.8090169943749413,884.5819,40.19,820520.5274944017,997.9519781040061,0.8222044201498515,38824.88333333333,34175.91,0.04305356241409121,0.034955645428130684,14.432,15,7,2,0,KOR
Turkey,2022,Frozen Food,19155.88,17069.74,33.68,12.54,53.73,17.549999999999997,Europe,Unknown,33.68,1044.4250991749661,47889700.00000001,2.4956666746742995,4,1,0,4,163.5,1270.4600691117123,0.30901699437502833,220.07699999999994,50.16,1361223.2854864434,1527.5821371610848,0.8910966241175033,24447.15333333335,21014.686666666672,0.02315760014627726,0.020176734336705582,31.018666666666668,17,3,3,2,TUR
Canada,2024,Grains & Cereals,21004.82,16927.09,109.2,840.09,39.94,17.549999999999997,America,Unknown,109.2,20.149138782749468,52512050.0,0.0625076479900963,6,0,1,6,236.0,1271.7167061731484,-0.8090169943750019,14743.579499999998,5040.54,20149.13878274947,25.003059196038517,0.8058669391120705,34562.38,33074.90666666667,0.02134040664404432,0.017442365920343393,52.01768703353212,3,5,1,2,CAN
India,2023,Dairy Products,47035.68,52552.41,43.53,187.69,46.27,17.549999999999997,Asia,Unknown,43.53,279.99579093185577,117589200.0,0.6265075390271192,5,0,1,5,210.0,1271.0883876424302,-0.30901699437484287,3293.9594999999995,938.45,279995.7909318558,250.60301561084768,1.1172881948342195,26298.90000000001,27668.823333333337,0.05741785617630073,0.06584982132648964,28.392,7,2,2,2,IND
South Africa,2019,Beverages,17002.3,18242.84,150.77,112.79,49.48,7.55,Africa,Southern Hemisphere,150.77,161.74164376274493,42505750.0,0.3768574341696959,1,0,0,1,50.5,1268.5751135195585,0.8090169943749413,851.5645000000001,112.79,161741.64376274493,150.74297366787835,1.0729630697023345,18107.193333333333,19366.82333333333,0.01808573057313065,0.019407279486190563,7.388553949818245,14,1,0,1,ZAF
Australia,2024,Grains & Cereals,30731.56,35981.04,185.96,986.66,41.94,17.549999999999997,Oceania,Unknown,185.96,36.46751667240995,76828900.00000001,0.07786765451117915,6,0,1,6,212.0,1271.7167061731484,-0.8090169943750019,17315.882999999998,5919.96,36467.51667240995,31.147061804471655,1.1708172315365701,31651.52666666667,34141.933333333334,0.035762414816343666,0.04254196324728909,27.97730322502179,1,5,4,2,AUS
South Korea,2020,Bakery Items,13499.98,13593.82,136.45,778.31,31.46,22.01,Asia,Northern Hemisphere,136.45,17.46581696239288,33749950.0,0.043363120093535996,2,1,0,2,90.0,1269.2034320502764,1.0,17130.6031,1556.62,17465.816962392877,17.3452480374144,1.0069511214090687,33070.036666666674,29149.933333333334,0.018289653646825506,0.01874222791816037,47.91218340592651,15,0,2,0,KOR
Spain,2024,Dairy Products,14592.73,14443.07,76.33,752.73,55.75,17.549999999999997,Europe,Unknown,76.33,19.18758386141113,36481825.0,0.04846601703133926,6,0,1,6,255.5,1271.7167061731484,-0.8090169943750019,13210.411499999998,4516.38,19187.58386141113,19.386406812535704,0.9897442082461609,18248.123333333326,19123.549999999992,0.0148017535548956,0.014262506524771328,62.34668441539463,16,2,3,2,ESP
Brazil,2024,Dairy Products,28942.01,26738.86,47.05,879.48,55.25,17.549999999999997,America,Unknown,47.05,30.40303361077,72355025.0,0.082270233547096,6,0,1,6,241.0,1271.7167061731484,-0.8090169943750019,15434.873999999998,5276.88,30403.03361077,32.908093418838405,0.923877090775658,20598.029999999995,21040.533333333333,0.030658819585006505,0.028808642564756837,59.714844112430065,2,2,1,2,BRA
USA,2023,Frozen Food,8312.01,7442.82,106.56,929.78,47.64,17.549999999999997,America,Unknown,106.56,8.004925896448622,20780025.0,0.022349399858030933,5,0,1,5,197.5,1271.0883876424302,-0.30901699437484287,16317.638999999997,4648.9,8004.925896448622,8.939759943212373,0.8954296253252823,31347.59999999999,28193.079999999998,0.009613234771426189,0.008462182452704262,64.23934158618168,19,3,1,2,USA
Spain,2020,Prepared Food,16770.54,14492.63,131.48,380.8,46.97,13.48,Europe,Northern Hemisphere,131.48,38.05837710084033,41926350.00000001,0.11010070903361346,2,1,0,2,99.0,1269.2034320502764,1.0,5133.184,761.6,38058.377100840335,44.04028361344538,0.8641719348333445,19129.539999999994,18323.239999999987,0.01590094574016334,0.014006027142659151,29.78884129901961,16,7,3,0,ESP
Saudi Arabia,2018,Prepared Food,46680.48,40190.28,28.28,24.19,66.75,28.79,Asia,Northern Hemisphere,28.28,1044.4250991749661,116701200.00000001,2.4956666746742995,0,0,0,0,19.0,1267.9467949888406,0.3090169943749612,696.4301,0.0,1661441.918147995,1929.7428689541132,0.8609654399440622,47073.17666666667,46883.54666666667,0.04949619373094527,0.04205447761231512,32.458666666666666,13,7,2,0,SAU
Brazil,2018,Prepared Food,18248.77,16599.39,152.43,417.82,49.24,18.28,America,Southern Hemisphere,152.43,39.72856732564262,45621925.0,0.10919038102532191,0,0,0,0,20.5,1267.9467949888406,0.3090169943749612,7637.7496,0.0,39728.56732564262,43.676152410128765,0.9096169221268063,17924.753333333327,16823.76,0.01767137479315351,0.016200096659574437,23.65215164424872,2,7,1,1,BRA
India,2024,Fruits & Vegetables,12090.15,10281.78,193.08,1288.65,68.67,17.549999999999997,Asia,Unknown,193.08,7.9787219182865785,30225375.0,0.023455069258526366,6,0,1,6,241.5,1271.7167061731484,-0.8090169943750019,22615.8075,7731.900000000001,7978.721918286578,9.382027703410545,0.8504261733725389,29804.320000000007,30570.770000000004,0.01877890074245478,0.01604509176117782,52.60865440577349,7,4,2,2,IND
Turkey,2021,Meat & Seafood,47227.73,40158.85,28.15,909.21,47.31,17.49,Europe,Northern Hemisphere,28.15,44.168948867698326,118069325.00000001,0.12985924593878204,3,1,0,3,129.0,1269.8317505809944,0.8090169943749828,15902.0829,2727.63,44168.948867698324,51.94369837551281,0.8503235281475522,32405.91333333335,27992.986666666675,0.05432866967022902,0.04842606442597095,54.70177857700641,17,6,3,0,TUR
Mexico,2021,Beverages,21466.8,20122.08,128.44,1146.07,65.01,10.85,America,Northern Hemisphere,128.44,17.557461586116034,53667000.0,0.046826982645039136,3,1,0,3,110.0,1269.8317505809944,0.8090169943749828,12434.859499999999,3438.21,17557.461586116035,18.730793058015653,0.9373581530549501,25120.57333333333,24416.853333333336,0.02384544753596653,0.022093977185122116,49.77161818504396,11,1,1,0,MEX
Argentina,2018,Meat & Seafood,26569.77,27208.17,102.15,291.69,30.84,16.88,America,Southern Hemisphere,102.15,93.27769207034865,66424425.0,0.22772266790085366,0,0,0,0,16.0,1267.9467949888406,0.3090169943749612,4923.727199999999,0.0,93277.69207034865,91.08906716034146,1.0240273062205656,21294.646666666667,21078.93333333333,0.038032430908166354,0.0389943096725334,29.096639925948775,0,6,1,1,ARG
France,2021,Bakery Items,37429.54,39656.05,55.44,384.5,45.85,17.1,Europe,Northern Hemisphere,55.44,103.1366710013004,93573850.0,0.24336501950585177,3,1,0,3,114.5,1269.8317505809944,0.8090169943749828,6574.950000000001,1153.5,103136.6710013004,97.34600780234071,1.0594853690427402,43046.22666666667,46263.493333333325,0.03624519315579697,0.03924200990798148,40.614098829648896,5,0,3,0,FRA
Indonesia,2024,Beverages,41578.83,37298.89,136.07,901.48,58.37,17.549999999999997,Asia,Unknown,136.07,41.375171939477305,103947075.00000001,0.11530713382437771,6,0,1,6,227.5,1271.7167061731484,-0.8090169943750019,15820.973999999998,5408.88,41375.1719394773,46.122853529751076,0.8970644436122901,24162.109999999997,21465.953333333327,0.04900414828605821,0.04493261725876809,26.796238637204006,8,1,2,2,IDN
South Korea,2020,Grains & Cereals,45191.43,45956.79,57.02,1271.31,47.09,22.01,Asia,Northern Hemisphere,57.02,36.14916110154093,112978575.0,0.08886784104585034,2,1,0,2,90.0,1269.2034320502764,1.0,27981.5331,2542.62,36149.161101540936,35.54713641834014,1.0169359544497707,32933.03333333333,30842.44333333333,0.061224950148426854,0.06336207427838778,52.35072537775994,15,5,2,0,KOR
Turkey,2022,Grains & Cereals,34891.84,31559.15,141.45,434.77,52.19,17.549999999999997,Europe,Unknown,141.45,72.58815005635164,87229599.99999999,0.20063389838305307,4,1,0,4,163.5,1270.4600691117123,0.30901699437502833,7630.213499999998,1739.08,72588.15005635163,80.25355935322123,0.9044851174372004,33758.483333333344,29595.91333333334,0.04218084886144007,0.03730347301378006,20.241966097016817,17,5,3,2,TUR
Canada,2018,Frozen Food,26035.57,24115.43,39.01,1082.34,38.5,35.84,America,Northern Hemisphere,39.01,22.28082672727609,65088925.0,0.06013722582552618,0,0,0,0,17.5,1267.9467949888406,0.3090169943749612,38791.0656,0.0,22280.82672727609,24.054890330210473,0.9262493580897211,28731.809999999998,24559.033333333336,0.032429974151503595,0.029058796869413,69.27847973834469,3,3,1,0,CAN
Spain,2019,Grains & Cereals,12016.56,10628.92,110.62,331.49,35.02,13.48,Europe,Northern Hemisphere,110.62,32.06407433105071,30041399.999999996,0.09062535823101751,1,0,0,1,55.5,1268.5751135195585,0.8090169943749413,4468.4852,331.49,32064.074331050713,36.25014329240701,0.8845226920183481,14459.943333333327,13188.206666666656,0.012184162043344495,0.010895166044236286,41.015756091184244,16,5,3,0,ESP
USA,2022,Grains & Cereals,5391.43,6068.79,138.09,122.74,68.8,17.549999999999997,America,Unknown,138.09,49.44427244582044,13478575.0,0.10981403780348704,4,1,0,4,156.5,1270.4600691117123,0.30901699437502833,2154.0869999999995,490.96,49444.27244582044,43.92561512139482,1.1256364266994099,17450.873333333326,15030.263333333334,0.004346979216984992,0.00493135261127447,26.58715773179078,19,5,1,2,USA
Saudi Arabia,2018,Dairy Products,27923.07,29009.89,111.9,1185.65,37.15,28.79,Asia,Northern Hemisphere,111.9,24.467498840298568,69807675.0,0.05887713490490448,0,0,0,0,19.0,1267.9467949888406,0.3090169943749612,34134.8635,0.0,24467.49884029857,23.550853961961792,1.038921938024723,41244.863333333335,39457.75,0.029607357985238066,0.03035549315756756,48.2767477754818,13,2,2,0,SAU
Brazil,2020,Beverages,38838.74,32123.22,136.85,1160.65,45.57,18.87,America,Southern Hemisphere,136.85,27.676922414164476,97096849.99999999,0.08365730409684227,2,1,0,2,97.0,1269.2034320502764,1.0,21901.465500000002,2321.3,27676.922414164477,33.46292163873691,0.8270922280176958,28676.506666666664,25153.823333333334,0.04251118381956092,0.036084882142041814,37.72953661023277,2,1,1,1,BRA
Russia,2018,Frozen Food,21937.45,23241.1,87.89,831.96,57.63,17.549999999999997,Europe,Unknown,87.89,27.93535746910909,54843625.0,0.06592098778787442,0,0,0,0,13.5,1267.9467949888406,0.3090169943749612,14600.897999999997,0.0,27935.35746910909,26.368395115149767,1.059425776469006,18879.830000000005,20289.416666666668,0.03621525302604613,0.03718193769680476,51.65588929756238,12,3,3,2,RUS
Argentina,2019,Frozen Food,4023.38,3768.31,110.69,1141.3,65.88,15.81,America,Southern Hemisphere,110.69,3.301769911504425,10058450.0,0.008813151669149215,1,0,0,1,54.5,1268.5751135195585,0.8090169943749413,18043.953,1141.3,3301.769911504425,3.5252606676596865,0.9366030551426909,12292.72,12612.746666666664,0.003598550043836361,0.0033553622465130185,67.47755013288939,0,3,1,1,ARG
Brazil,2019,Grains & Cereals,39724.75,34944.07,83.38,77.92,35.68,18.87,America,Southern Hemisphere,83.38,448.4608572895277,99311875.0,1.274536383470226,1,0,0,1,60.0,1268.5751135195585,0.8090169943749413,1470.3504,77.92,448460.8572895277,509.81455338809036,0.8796548751093461,32270.753333333327,27888.89333333333,0.04146940866244975,0.0371085158446748,17.765333333333334,2,5,1,1,BRA
Canada,2018,Prepared Food,26122.94,29785.58,95.83,1076.63,53.16,35.84,America,Northern Hemisphere,95.83,27.66556755802829,65307350.0,0.06065904721213416,0,0,0,0,17.5,1267.9467949888406,0.3090169943749612,38586.41920000001,0.0,27665.56755802829,24.26361888485366,1.1402078020314712,24387.77666666666,23609.36666666667,0.032538802452232826,0.035891257956323,50.056614832084065,3,7,1,0,CAN
Germany,2020,Grains & Cereals,48970.79,41489.98,73.84,27.3,59.61,19.4,Europe,Northern Hemisphere,73.84,1044.4250991749661,122426975.0,2.4956666746742995,2,1,0,2,106.0,1269.2034320502764,1.0,529.62,54.6,1519779.4871794872,1793.8018315018314,0.8472393441069667,33025.810000000005,30232.803333333333,0.048726893867243715,0.04150744051992912,20.309333333333335,6,5,3,0,DEU
Turkey,2024,Fruits & Vegetables,36283.83,41217.28,56.31,729.0,62.54,17.549999999999997,Europe,Unknown,56.31,56.53947873799726,90709575.00000001,0.12443014403292182,6,0,1,6,235.5,1271.7167061731484,-0.8090169943750019,12793.949999999997,4374.0,56539.478737997255,49.77205761316873,1.1359682811875151,39467.80000000001,37645.09333333334,0.03446040652263218,0.039739994964778126,47.518191358024694,17,4,3,2,TUR
USA,2024,Meat & Seafood,15071.26,16957.71,146.47,254.85,49.46,17.549999999999997,America,Unknown,146.47,66.53996468510888,37678150.0,0.14784441828526584,6,0,1,6,236.5,1271.7167061731484,-0.8090169943750019,4472.617499999999,1529.1,66539.96468510889,59.13776731410634,1.1251686985693299,9591.566666666657,10156.44,0.015939886248435915,0.017974473669781138,22.07066823621738,19,6,1,2,USA
Brazil,2019,Dairy Products,38345.98,44353.29,101.99,1019.78,61.12,18.87,America,Southern Hemisphere,101.99,43.49299848987037,95864950.00000001,0.09400552079860364,1,0,0,1,60.0,1268.5751135195585,0.8090169943749413,19243.2486,1019.78,43492.99848987037,37.60220831944145,1.1566607503576645,38969.82333333333,37140.193333333336,0.04003008490128005,0.04710054566421302,37.162335418750445,2,2,1,1,BRA
Russia,2023,Bakery Items,28659.64,33469.89,43.48,448.9,38.2,17.549999999999997,Europe,Unknown,43.48,74.55979059924259,71649100.0,0.15961038093116506,5,0,1,5,183.5,1271.0883876424302,-0.30901699437484287,7878.194999999998,2244.5,74559.7905992426,63.84415237246603,1.1678405590579644,23345.126666666674,26454.353333333333,0.03134199204832956,0.03528136995553678,48.828710477463424,12,0,3,2,RUS
